Rank,Experiment,Model,Features,Strategy,AUC,Accuracy,Precision,Recall,F1
1,Exp 5,Random Forest,Simple_03 (4),Class Weights,0.6747800136084806,0.8002574949420637,0.47307132459970885,0.3098188751191611,0.37442396313364057
2,Exp 4,Random Forest,Simple_02 (5),Class Weights,0.6713284692718594,0.8002574949420637,0.47307132459970885,0.3098188751191611,0.37442396313364057
3,Exp 2,Random Forest,Simple_02 (5),SMOTE,0.6542585593954567,0.7533566304947581,0.3374164810690423,0.2888465204957102,0.31124807395993837
4,Exp 3,Gradient Boosting,Full (13),Class Weights,0.5792686397515365,0.5545337502299063,0.23131115459882584,0.563393708293613,0.327968923418424
5,Exp 3,Random Forest,Full (13),Class Weights,0.576020657777994,0.7871988228802649,0.3767123287671233,0.1572926596758818,0.2219233355749832
6,Exp 1,Gradient Boosting,Full (13),SMOTE,0.5602551112184804,0.7936361964318558,0.25170068027210885,0.03527168732125834,0.061872909698996656
7,Exp 1,Random Forest,Full (13),SMOTE,0.5546522581301113,0.7618171785911348,0.29081632653061223,0.16301239275500476,0.20891875381795968
8,Exp 4,Gradient Boosting,Simple_02 (5),Class Weights,0.5531286905182954,0.5631782232848997,0.21298701298701297,0.4690181124880839,0.2929443286692468
9,Exp 2,Gradient Boosting,Simple_02 (5),SMOTE,0.5434126611010356,0.7616332536325179,0.25250501002004005,0.12011439466158245,0.16279069767441862
10,Exp 3,Logistic Regression,Full (13),Class Weights,0.5389294010095997,0.5021151370240942,0.20932678821879383,0.5691134413727359,0.30607536529095103
11,Exp 1,Logistic Regression,Full (13),SMOTE,0.5354916519878723,0.4807798418245356,0.20918032786885246,0.6081982840800763,0.3112954379116858
12,Exp 2,Logistic Regression,Simple_02 (5),SMOTE,0.4995202054654648,0.512047084789406,0.19153846153846155,0.4747378455672069,0.2729514935598794
13,Exp 4,Logistic Regression,Simple_02 (5),Class Weights,0.49044506075587024,0.5111274599963215,0.18684312962242117,0.45757864632983797,0.26533996683250416
