INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
298699604,12/31/2024,19:16:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),FALSE,25-44,M,BLACK,18-24,M,BLACK,"1,015,120","173,870",40.643866,-73.888761,POINT (-73.888761 40.643866)
298699604,12/31/2024,19:16:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,015,120","173,870",40.643866,-73.888761,POINT (-73.888761 40.643866)
298672094,12/30/2024,12:15:00,BRONX,OUTSIDE,52,0,STREET,(null),FALSE,45-64,M,BLACK,25-44,M,WHITE,"1,017,719","260,875",40.882661,-73.878964,POINT (-73.878964 40.882661)
298672096,12/30/2024,16:45:00,BRONX,OUTSIDE,47,0,STREET,(null),FALSE,(null),(null),(null),25-44,F,WHITE HISPANIC,"1,021,316","259,277",40.878261,-73.865964,POINT (-73.865964 40.878261)
298672096,12/30/2024,16:45:00,BRONX,OUTSIDE,47,0,STREET,(null),FALSE,(null),(null),(null),18-24,M,BLACK,"1,021,316","259,277",40.878261,-73.865964,POINT (-73.865964 40.878261)
298672097,12/30/2024,18:48:00,BROOKLYN,OUTSIDE,60,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,45-64,M,BLACK,"989,372","155,205",40.592685,-73.981557,POINT (-73.981557 40.592685)
298672095,12/30/2024,20:32:00,BRONX,INSIDE,41,0,DWELLING,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,25-44,M,BLACK,"1,012,201","240,878",40.827795,-73.899003,POINT (-73.899003 40.827795)
298672096,12/30/2024,16:45:00,BRONX,OUTSIDE,47,0,STREET,(null),FALSE,(null),(null),(null),<18,F,WHITE HISPANIC,"1,021,316","259,277",40.878261,-73.865964,POINT (-73.865964 40.878261)
298628071,12/29/2024,17:24:00,MANHATTAN,OUTSIDE,23,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK,"999,007","229,814",40.79745,-73.946702,POINT (-73.946702 40.79745)
298628070,12/29/2024,16:21:00,BRONX,OUTSIDE,43,0,STREET,(null),FALSE,18-24,M,BLACK,<18,M,BLACK,"1,020,219","239,110",,,
298607139,12/28/2024,2:53:00,MANHATTAN,INSIDE,18,0,DWELLING,MULTI DWELL - APT BUILD,TRUE,18-24,F,BLACK,25-44,M,BLACK,"987,578","216,989",40.762269,-73.987986,POINT (-73.987986 40.762269)
298607139,12/28/2024,2:53:00,MANHATTAN,INSIDE,18,0,DWELLING,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,BLACK,"987,578","216,989",40.762269,-73.987986,POINT (-73.987986 40.762269)
298609064,12/28/2024,15:30:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),FALSE,(null),(null),(null),18-24,M,BLACK,"1,007,941","179,784",40.66012,-73.91461,POINT (-73.91461 40.66012)
298609064,12/28/2024,15:30:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),FALSE,(null),(null),(null),25-44,F,BLACK,"1,007,941","179,784",40.66012,-73.91461,POINT (-73.91461 40.66012)
298566035,12/27/2024,20:42:00,BRONX,OUTSIDE,40,0,STREET,(null),FALSE,<18,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,"1,006,789","237,559",40.818691,-73.918569,POINT (-73.918569 40.818691)
298569109,12/27/2024,20:40:00,BROOKLYN,OUTSIDE,61,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),18-24,M,BLACK,"1,001,807","156,562",40.596395,-73.93678,POINT (-73.93678 40.596395)
298566035,12/27/2024,20:42:00,BRONX,OUTSIDE,40,0,STREET,(null),FALSE,<18,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,"1,006,789","237,559",40.818691,-73.918569,POINT (-73.918569 40.818691)
298515632,12/26/2024,18:39:00,BRONX,INSIDE,52,0,OTHER,HOSPITAL,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC,"1,017,782","260,028",40.880337,-73.87874,POINT (-73.87874 40.880337)
298508438,12/26/2024,20:37:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK,"1,006,844","232,758",40.805523,-73.918387,POINT (-73.918387 40.805523)
298461889,12/25/2024,5:55:00,MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,"999,602","230,361",40.798959,-73.944552,POINT (-73.944552 40.798959)
298609065,12/25/2024,1:18:00,BRONX,INSIDE,44,0,DWELLING,MULTI DWELL - APT BUILD,FALSE,45-64,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,"1,006,693","240,835",40.827694,-73.918903,POINT (-73.918903 40.827694)
298444104,12/24/2024,17:46:00,QUEENS,OUTSIDE,106,0,STREET,(null),FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,ASIAN / PACIFIC ISLANDER,"1,035,389","182,933",40.668647,-73.815655,POINT (-73.815655 40.668647)
298411322,12/23/2024,22:30:00,MANHATTAN,OUTSIDE,23,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK,"1,000,776","227,613",40.791414,-73.940319,POINT (-73.940319 40.791414)
298357806,12/22/2024,3:20:00,BRONX,OUTSIDE,43,0,STREET,(null),FALSE,25-44,M,BLACK,18-24,M,BLACK,"1,021,853","242,624",40.832551,-73.864117,POINT (-73.864117 40.832551)
298357805,12/21/2024,18:15:00,BRONX,OUTSIDE,48,0,STREET,(null),TRUE,25-44,M,BLACK,25-44,M,BLACK,"1,017,012","244,931",40.838904,-73.881597,POINT (-73.881597 40.838904)
298357804,12/21/2024,15:22:00,BROOKLYN,OUTSIDE,61,1,TRANSIT,(null),FALSE,<18,M,BLACK,18-24,M,BLACK,"996,614","157,489",40.598939,-73.955477,POINT (-73.955477 40.598939)
298301433,12/20/2024,19:40:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),FALSE,18-24,M,WHITE HISPANIC,<18,M,BLACK HISPANIC,"1,004,175","253,200",40.861639,-73.927966,POINT (-73.927966 40.861639)
298301433,12/20/2024,19:40:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),FALSE,<18,M,WHITE HISPANIC,<18,M,BLACK HISPANIC,"1,004,175","253,200",40.861639,-73.927966,POINT (-73.927966 40.861639)
298316135,12/20/2024,20:55:00,QUEENS,OUTSIDE,109,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK,"1,023,819","224,864",40.783797,-73.857115,POINT (-73.857115 40.783797)
298301433,12/20/2024,19:40:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),FALSE,<18,M,BLACK,<18,M,BLACK HISPANIC,"1,004,175","253,200",40.861639,-73.927966,POINT (-73.927966 40.861639)
298257178,12/19/2024,7:20:00,BRONX,OUTSIDE,46,0,STREET,(null),TRUE,25-44,M,BLACK,25-44,M,BLACK HISPANIC,"1,010,124","247,779",40.846733,-73.906481,POINT (-73.906481 40.846733)
298263882,12/19/2024,21:10:00,QUEENS,INSIDE,109,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,"1,030,164","214,448",40.755178,-73.834275,POINT (-73.834275 40.755178)
298263882,12/19/2024,21:10:00,QUEENS,INSIDE,109,0,STREET,(null),TRUE,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,"1,030,164","214,448",40.755178,-73.834275,POINT (-73.834275 40.755178)
298162845,12/18/2024,2:24:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK HISPANIC,"1,009,652","183,399",40.670029,-73.908427,POINT (-73.908427 40.670029)
298147867,12/17/2024,23:08:00,BRONX,INSIDE,50,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,BLACK,<18,M,WHITE HISPANIC,"1,009,975","258,835",40.877081,-73.906973,POINT (-73.906973 40.877081)
298139842,12/17/2024,14:23:00,BRONX,OUTSIDE,42,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK,"1,009,353","239,589",40.824259,-73.909295,POINT (-73.909295 40.824259)
298079917,12/16/2024,1:05:00,QUEENS,INSIDE,109,0,DWELLING,MULTI DWELL - APT BUILD,FALSE,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,"1,026,304","225,239",40.784806,-73.848139,POINT (-73.848139 40.784806)
298079917,12/16/2024,1:05:00,QUEENS,INSIDE,109,0,DWELLING,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,"1,026,304","225,239",40.784806,-73.848139,POINT (-73.848139 40.784806)
298079917,12/16/2024,1:05:00,QUEENS,INSIDE,109,0,DWELLING,MULTI DWELL - APT BUILD,FALSE,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,"1,026,304","225,239",40.784806,-73.848139,POINT (-73.848139 40.784806)
298078464,12/16/2024,13:50:00,BRONX,INSIDE,42,0,DWELLING,MULTI DWELL - APT BUILD,FALSE,(null),(null),(null),25-44,M,BLACK,"1,009,417","240,071",40.825581,-73.909065,POINT (-73.909065 40.825581)
298079917,12/16/2024,1:05:00,QUEENS,INSIDE,109,0,DWELLING,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,"1,026,304","225,239",40.784806,-73.848139,POINT (-73.848139 40.784806)
298034554,12/15/2024,17:50:00,BRONX,OUTSIDE,43,0,STREET,(null),TRUE,<18,F,WHITE HISPANIC,25-44,M,BLACK,"1,024,906","238,243",40.820506,-73.853109,POINT (-73.853109 40.820506)
298039240,12/15/2024,1:27:00,BROOKLYN,OUTSIDE,73,0,VEHICLE,(null),FALSE,<18,M,BLACK,<18,M,BLACK,"1,009,188","178,234",40.655853,-73.910122,POINT (-73.910122 40.655853)
298039240,12/15/2024,1:27:00,BROOKLYN,OUTSIDE,73,0,VEHICLE,(null),FALSE,<18,M,BLACK,25-44,M,BLACK,"1,009,188","178,234",40.655853,-73.910122,POINT (-73.910122 40.655853)
298034554,12/15/2024,17:50:00,BRONX,OUTSIDE,43,0,STREET,(null),TRUE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,"1,024,906","238,243",40.820506,-73.853109,POINT (-73.853109 40.820506)
